"plot_ID","year","LON","LAT","ECOSUBCD","ELEV","species_richness","SLOPE","STDAGE","EcM_percentage","Rs","Le","pre","tem","clay","bulk","totaln","ph","Rs_log","Le_log","EcM_percentage_square","STDAGE_square","species_richness_log","EcM_percentage_centered","EcM_percentage_sq_centered","Mycorrhizal.type"
"ssscsisssscisssdjicsdrs",2006,-94.99654,37.600616,"251",940,4,0,42.5,0,4.10421133042557,70.8253954754197,689,21.7833334604899,329.597503662109,141.317352294922,356.052581787109,63,2.03710501883663,6.14619484724554,0,1806.25,2,-56.8248729492608,3229.06618569964,"AM"
"ssscsisssscisssfxicsdhh",2012,-96.38071,37.376131,"255",1330,2,0,35,0,7.97983225439081,65.6794975221846,611,21.6499996185303,318.888214111328,135.823303222656,403.744201660156,61.6743278503418,2.99635841959272,6.03737118477675,0,1225,1,-56.8248729492608,3229.06618569964,"AM"
"ssscsisssscisssjdicsggz",2012,-96.149251,37.61234,"255",1110,2,15,10,0,13.5026666773601,32.2573333588795,627,21.7166665395101,320.480743408203,138.093078613281,425.079284667969,61.2475433349609,3.75517245196206,5.01155527395954,0,100,1,-56.8248729492608,3229.06618569964,"AM"
"ssscsisssscisssjdicsgzc",2012,-96.246743,37.960916,"255",1160,2,50,35,0,8.27494888035513,2552.63076923316,617,21.6333335240682,381.076782226562,137.51643371582,306.235473632812,63.5344314575195,3.04875039949859,11.3177691557717,0,1225,1,-56.8248729492608,3229.06618569964,"AM"
"ssscsisssscisssjdicsgxd",2012,-96.13082,37.681145,"255",1070,8,3.75,65,0,37.6154797279774,16.6546255662201,627,21.7000001271566,344.363189697266,139.948455810547,393.722595214844,62.7076034545898,5.23325458474121,4.05785101420556,0,4225,3,-56.8248729492608,3229.06618569964,"AM"
"ssscsisssscisssjdicsgxz",2012,-96.153254,37.728805,"255",1020,4,8,15,0,17.0898439788326,14.0236508139982,623,21.7833334604899,409.969451904297,137.216201782227,403.941467285156,63.6352310180664,4.09506732092471,3.80979007373686,0,225,2,-56.8248729492608,3229.06618569964,"AM"
"ssscsisssscisssjdicshsr",2012,-96.166518,37.651991,"255",1080,5,0,45,0,7.67637084174825,13.0484009391951,625,21.8000000317891,410.444763183594,139.244094848633,332.897827148438,64.0299377441406,2.94042440911379,3.70580111252969,0,2025,2.32192809488736,-56.8248729492608,3229.06618569964,"AM"
"ssscsisssscisssjdicshfj",2012,-96.391911,37.649702,"255",1220,7,3,45,0,17.5944408424485,13.9444868054636,603,21.7333329518636,393.614410400391,134.05859375,310.268218994141,62.0008773803711,4.13704776034493,3.80162293518141,0,2025,2.8073549220576,-56.8248729492608,3229.06618569964,"AM"
"ssscsisssscisssxxicsdrr",2006,-95.210421,37.164216,"255",870,3,5,40,0,13.8740478689191,103.308671540214,652,22.0166665712992,250.148452758789,136.772720336914,395.716979980469,64.4013824462891,3.79431686224764,6.69081754623326,0,1600,1.58496250072116,-56.8248729492608,3229.06618569964,"AM"
"ssscsisssscisssxxicsdrr",2012,-95.2105200218555,37.164216,"255",870,3,5,40,0,8.64455741059096,117.210210210209,652,22.0166665712992,250.148452758789,136.772720336914,395.716979980469,64.4013824462891,3.11179210176333,6.8729544385284,0,1600,1.58496250072116,-56.8248729492608,3229.06618569964,"AM"
